usec,Time_Of_Day_Seconds,Core,CPU,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,CoreThr,PkgTmp,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,CPU%LPI,SYS%LPI,PkgWatt,CorWatt,GFXWatt,RAMWatt,PKG_%,RAM_%,UncMHz
5658,1737210241.192014,-,-,-,-,1155,60.37,1914,2711,0.45,40215,0,628,8186,8775,4189,12703,6,3191,20,460,0.03,2.69,4.43,3.45,20.43,0.0,7.66,0.03,1.16,22.93,2.58,12.68,1.43,56.0,0.0,56.0,149.58,86.65,76.35,64.6,1.15,0.22,0.0,0.0,0.0,0.0,0.0,7.72,4.03,0.84,1.93,0.0,0.0,1400.0
2499,1737210246.202308,-,-,-,-,1096,60.66,1807,2713,0.53,40384,0,396,6237,8380,4151,12102,2,3446,19,554,0.02,1.95,4.37,3.39,19.54,0.01,8.81,0.03,1.51,22.67,2.52,12.39,1.76,59.0,0.0,59.0,152.15,88.39,75.13,64.57,0.88,0.15,0.0,0.0,0.0,0.0,0.0,7.14,3.52,0.79,1.89,0.0,0.0,2600.0
2055,1737210251.209861,-,-,-,-,1517,55.26,2744,2712,0.4,40885,0,986,14236,8587,4934,14753,1,2995,16,483,0.04,4.94,4.61,4.07,23.22,0.0,6.89,0.02,1.24,26.9,2.94,13.74,1.16,63.0,0.0,63.0,138.87,81.63,80.45,64.56,1.31,0.16,0.0,0.0,0.0,0.0,0.0,11.04,7.17,0.93,2.05,0.0,0.0,2900.0
2997,1737210256.217972,-,-,-,-,1396,57.92,2410,2712,0.47,40378,0,658,10438,8089,4220,13591,5,3242,18,545,0.04,3.42,4.22,3.54,21.6,0.01,8.07,0.04,1.42,24.74,2.46,13.19,1.69,57.0,0.0,57.0,146.68,85.71,79.22,66.17,0.87,0.11,0.0,0.0,0.0,0.0,0.0,9.37,5.6,0.86,2.02,0.0,0.0,1800.0
1096,1737210261.22412,-,-,-,-,1129,54.9,2056,2713,0.5,38900,0,561,8981,8389,4438,14065,6,3682,32,644,0.03,2.65,4.53,3.73,23.16,0.01,9.37,0.05,1.87,25.43,2.89,14.62,2.16,60.0,0.0,60.0,141.4,84.42,76.12,62.1,1.05,0.14,0.0,0.0,0.0,0.0,0.0,7.85,4.2,0.8,1.91,0.0,0.0,2300.0
2154,1737210266.231154,-,-,-,-,2164,76.11,2843,2712,0.48,45615,0,617,7721,4946,2925,7880,10,1686,13,198,0.03,2.52,2.73,2.5,11.6,0.01,4.02,0.02,0.51,16.85,1.33,5.11,0.6,71.0,0.0,71.0,178.22,97.8,79.94,77.59,0.12,0.03,0.0,0.0,0.0,0.0,0.0,13.41,9.49,0.93,2.19,0.0,0.0,2900.0
1189,1737210271.238629,-,-,-,-,1505,63.77,2360,2712,0.49,44706,0,1100,9630,6681,3921,12312,15,2576,13,260,0.05,2.8,4.01,3.36,19.58,0.02,6.0,0.01,0.6,22.33,2.28,10.66,0.96,58.0,0.0,58.0,155.2,88.73,76.96,66.79,0.65,0.09,0.0,0.0,0.0,0.0,0.0,10.5,6.72,0.9,1.97,0.0,0.0,2600.0
2427,1737210276.246588,-,-,-,-,1170,57.55,2033,2712,0.52,39876,0,1001,10342,7724,4234,13653,22,3267,13,528,0.04,3.0,4.35,3.74,22.17,0.04,8.08,0.02,1.26,25.08,2.67,13.1,1.59,61.0,0.0,61.0,146.32,85.86,75.76,63.2,0.95,0.13,0.0,0.0,0.0,0.0,0.0,8.37,4.66,0.86,1.89,0.0,0.0,2600.0
6166,1737210281.259097,-,-,-,-,1342,63.61,2110,2711,0.47,41927,0,845,11041,7557,4201,12334,4,2489,12,365,0.03,3.53,3.94,3.63,19.05,0.0,5.42,0.04,0.87,22.56,2.55,10.65,0.62,57.0,0.0,57.0,154.27,87.32,79.68,68.21,0.8,0.06,0.0,0.0,0.0,0.0,0.0,9.26,5.51,0.88,1.96,0.0,0.0,1000.0
1212,1737210286.266272,-,-,-,-,1228,59.94,2048,2713,0.49,40419,0,604,9708,7765,4361,12719,10,3214,9,440,0.04,3.24,4.27,3.68,20.16,0.01,7.87,0.01,1.03,23.49,2.67,12.33,1.57,59.0,0.0,59.0,148.49,86.04,76.98,64.75,1.21,0.16,0.0,0.0,0.0,0.0,0.0,8.25,4.52,0.85,1.94,0.0,0.0,2200.0
1611,1737210291.272716,-,-,-,-,1165,59.5,1959,2712,0.52,40087,0,650,8622,7177,4060,13005,18,3173,14,410,0.04,2.66,3.99,3.46,21.58,0.03,7.84,0.02,1.09,23.45,2.38,13.05,1.62,63.0,0.0,63.0,147.88,85.73,74.68,62.13,1.11,0.18,0.0,0.0,0.0,0.0,0.0,8.42,4.76,0.83,1.86,0.0,0.0,2900.0
4171,1737210296.283438,-,-,-,-,1813,73.59,2464,2711,0.43,46816,0,202,7795,6324,3021,8897,9,1880,11,194,0.02,2.56,3.27,2.45,13.34,0.01,4.38,0.03,0.41,16.38,1.7,7.31,1.01,69.0,0.0,69.0,167.27,91.55,76.75,70.17,1.0,0.17,0.0,0.0,0.0,0.0,0.0,11.02,6.92,1.16,2.09,0.0,0.0,2900.0
1201,1737210301.290153,-,-,-,-,1540,63.75,2414,2713,0.49,42941,0,507,9864,7182,4005,11471,6,2625,10,398,0.04,2.97,3.86,3.47,18.77,0.01,6.29,0.02,1.0,21.99,2.38,10.78,1.1,67.0,0.0,67.0,155.37,88.94,69.75,60.53,1.14,0.11,0.0,0.0,0.0,0.0,0.0,10.51,6.44,1.18,1.95,0.0,0.0,2900.0
1346,1737210306.29637,-,-,-,-,1084,53.46,2028,2712,0.57,39337,0,259,9668,8177,4443,14064,12,4010,31,586,0.03,3.03,4.28,3.65,24.16,0.02,10.01,0.08,1.53,25.99,2.6,15.55,2.4,57.0,0.0,57.0,137.83,83.21,63.3,50.69,2.34,0.33,0.0,0.0,0.0,0.0,0.0,7.98,4.36,0.85,1.72,0.0,0.0,1700.0
10083,1737210311.312905,-,-,-,-,1494,55.0,2719,2709,0.46,41141,0,212,14248,8827,4889,14430,7,3208,33,561,0.02,4.86,4.78,4.02,22.69,0.01,7.35,0.06,1.41,27.06,2.92,13.71,1.31,59.0,0.0,59.0,139.64,82.57,74.84,60.64,1.74,0.17,0.0,0.0,0.0,0.0,0.0,10.57,6.78,0.9,1.95,0.0,0.0,600.0
1532,1737210316.321551,-,-,-,-,1437,61.19,2346,2715,0.51,42378,0,348,10424,7919,4106,12602,22,2839,10,438,0.03,3.5,4.36,3.59,19.68,0.03,6.76,0.01,1.11,23.31,2.55,11.7,1.25,59.0,0.0,59.0,149.67,86.4,72.97,61.45,1.16,0.26,0.0,0.0,0.0,0.0,0.0,9.45,5.61,0.95,1.94,0.0,0.0,1800.0
6873,1737210321.335495,-,-,-,-,1248,57.17,2184,2711,0.56,41196,0,301,8759,8110,4314,13497,16,3401,19,579,0.03,2.8,4.28,3.71,22.45,0.03,8.39,0.03,1.39,24.91,2.73,13.49,1.7,57.0,0.0,57.0,145.57,86.12,66.73,55.29,1.38,0.24,0.0,0.0,0.0,0.0,0.0,8.74,5.05,0.88,1.8,0.0,0.0,1400.0
2509,1737210326.34455,-,-,-,-,1494,58.27,2564,2713,0.47,41177,0,174,13250,8353,4404,13328,5,2973,23,622,0.02,4.53,4.49,3.81,21.01,0.01,6.63,0.04,1.45,25.49,2.77,12.27,1.19,62.0,0.0,61.0,144.59,84.25,75.13,61.9,1.37,0.12,0.0,0.0,0.0,0.0,0.0,10.51,6.81,0.82,1.93,0.0,0.0,2600.0
8060,1737210331.359803,-,-,-,-,1970,74.46,2647,2710,0.51,45763,0,236,7268,5381,2936,8322,0,1787,16,318,0.02,2.34,2.96,2.54,12.65,0.0,4.25,0.04,0.8,16.17,1.65,6.86,0.86,57.0,0.0,57.0,170.1,93.15,72.79,67.23,0.75,0.16,0.0,0.0,0.0,0.0,0.0,12.22,8.24,1.04,2.05,0.0,0.0,700.0
1468,1737210336.366482,-,-,-,-,1181,57.56,2051,2714,0.56,40180,0,270,10364,7299,4011,13063,9,3418,36,767,0.03,2.99,3.92,3.32,21.69,0.01,8.64,0.04,2.09,24.39,2.48,13.47,2.11,62.0,0.0,62.0,144.8,85.65,60.89,49.96,1.78,0.4,0.0,0.0,0.0,0.0,0.0,8.66,5.15,0.76,1.7,0.0,0.0,2300.0
3393,1737210341.37634,-,-,-,-,1777,64.89,2739,2711,0.43,45722,0,766,12516,7438,4077,11149,5,2350,15,426,0.03,4.14,3.96,3.39,16.89,0.01,5.69,0.04,1.1,21.95,2.35,9.79,1.02,59.0,0.0,59.0,154.06,86.72,76.97,66.38,1.6,0.13,0.0,0.0,0.0,0.0,0.0,11.87,7.86,1.06,2.07,0.0,0.0,1000.0
2491,1737210346.384296,-,-,-,-,1436,62.69,2291,2712,0.5,43113,0,1288,11094,7603,3884,11432,11,3010,23,441,0.05,3.22,4.07,3.26,18.54,0.01,7.34,0.05,0.99,22.36,2.37,11.31,1.28,61.0,0.0,60.0,152.1,87.02,68.94,59.1,1.52,0.38,0.0,0.0,0.0,0.0,0.0,9.57,5.78,0.95,1.88,0.0,0.0,2600.0
1088,1737210351.390919,-,-,-,-,1673,65.31,2561,2712,0.49,43471,0,801,11819,7177,3593,10684,21,2590,30,470,0.06,3.33,3.68,2.96,16.92,0.04,6.57,0.04,1.27,21.0,1.89,10.34,1.46,66.0,0.0,66.0,157.63,89.63,67.6,59.9,1.5,0.37,0.0,0.0,0.0,0.0,0.0,11.19,7.15,1.14,1.97,0.0,0.0,2900.0
1559,1737210356.39743,-,-,-,-,1791,66.39,2698,2712,0.45,45602,0,151,11757,6785,3624,10807,8,2393,15,382,0.02,3.83,3.47,3.08,16.68,0.01,5.58,0.04,1.06,20.77,2.09,9.7,1.05,64.0,0.0,65.0,156.79,87.69,74.67,64.79,1.41,0.13,0.0,0.0,0.0,0.0,0.0,11.76,7.94,0.9,2.01,0.0,0.0,2900.0
1096,1737210361.403962,-,-,-,-,1593,62.67,2542,2712,0.5,43928,0,271,11363,7426,4088,11452,19,2833,18,395,0.03,3.4,4.16,3.4,18.71,0.03,6.75,0.04,1.0,22.69,2.4,10.83,1.4,63.0,0.0,63.0,151.93,87.32,70.48,60.74,1.58,0.19,0.0,0.0,0.0,0.0,0.0,10.66,6.76,1.01,1.95,0.0,0.0,2600.0
3739,1737210366.413698,-,-,-,-,1422,60.22,2363,2711,0.5,40941,0,359,10123,7061,3952,12162,17,3118,24,444,0.03,3.11,3.81,3.34,20.46,0.03,7.97,0.05,1.17,23.13,2.36,12.7,1.58,60.0,0.0,60.0,147.7,85.66,65.62,54.96,1.91,0.43,0.0,0.0,0.0,0.0,0.0,10.03,6.17,1.02,1.85,0.0,0.0,2000.0
1721,1737210371.420939,-,-,-,-,1842,63.97,2879,2713,0.4,44739,0,318,13141,8009,4301,11887,18,2319,11,275,0.03,4.18,4.17,3.53,18.38,0.03,5.2,0.01,0.7,22.25,2.48,10.57,0.72,60.0,0.0,60.0,152.79,86.39,77.82,66.55,1.16,0.22,0.0,0.0,0.0,0.0,0.0,12.43,8.21,1.25,2.12,0.0,0.0,1800.0
4014,1737210376.430097,-,-,-,-,1435,58.95,2435,2712,0.49,42046,0,253,11000,7837,4197,13044,1,3266,28,498,0.03,3.34,4.1,3.54,20.9,0.01,8.01,0.05,1.3,23.97,2.6,12.8,1.68,60.0,0.0,60.0,146.4,85.25,68.13,56.89,1.66,0.44,0.0,0.0,0.0,0.0,0.0,9.9,6.0,1.04,1.89,0.0,0.0,2000.0
3972,1737210381.438993,-,-,-,-,1664,61.81,2693,2711,0.48,42992,0,398,10634,6767,3824,11877,22,2889,34,487,0.04,3.08,3.71,3.25,19.96,0.04,6.97,0.08,1.28,22.66,2.36,11.84,1.34,61.0,0.0,61.0,150.93,86.93,68.79,58.89,1.67,0.34,0.0,0.0,0.0,0.0,0.0,11.55,7.49,1.16,1.98,0.0,0.0,2000.0
2427,1737210386.446557,-,-,-,-,1815,67.36,2693,2713,0.45,43794,0,115,11326,6863,3771,10689,5,2273,15,329,0.01,3.77,3.7,3.04,16.1,0.01,5.29,0.02,0.84,20.51,2.14,9.01,0.98,64.0,0.0,63.0,159.32,88.81,76.81,67.82,1.32,0.14,0.0,0.0,0.0,0.0,0.0,11.54,7.61,0.98,2.07,0.0,0.0,2600.0
5539,1737210391.45782,-,-,-,-,1544,64.59,2391,2711,0.49,42342,0,121,12726,7525,3927,11463,2,2537,21,394,0.01,4.2,3.92,3.35,17.26,0.01,5.85,0.03,0.92,22.26,2.46,9.6,1.08,59.0,0.0,59.0,155.09,87.55,73.78,63.03,0.89,0.07,0.0,0.0,0.0,0.0,0.0,10.34,6.71,0.76,1.91,0.0,0.0,1000.0
3286,1737210396.466162,-,-,-,-,1829,64.35,2842,2713,0.46,44648,0,133,13524,7472,3730,11105,3,2400,7,412,0.01,4.47,3.77,3.17,17.71,0.0,5.64,0.02,1.04,22.0,2.2,10.51,0.95,70.0,0.0,69.0,153.08,86.33,74.33,64.18,1.81,0.14,0.0,0.0,0.0,0.0,0.0,11.96,8.19,0.87,2.01,0.0,0.0,2900.0
1480,1737210401.473427,-,-,-,-,1874,66.6,2813,2713,0.45,43911,0,144,13683,7818,3793,10631,0,2329,12,351,0.01,4.13,3.73,3.27,16.15,0.0,5.31,0.02,0.95,21.15,2.28,8.82,1.15,68.0,0.0,68.0,158.51,88.92,77.45,68.54,1.22,0.12,0.0,0.0,0.0,0.0,0.0,12.24,8.34,0.96,2.07,0.0,0.0,2800.0
3961,1737210406.482977,-,-,-,-,1598,59.25,2698,2712,0.49,42161,0,240,12012,6949,4200,12881,4,2960,11,470,0.02,3.74,3.79,3.52,21.63,0.01,7.17,0.03,1.02,24.18,2.49,12.73,1.34,68.0,0.0,68.0,147.04,85.59,70.87,59.35,1.56,0.24,0.0,0.0,0.0,0.0,0.0,11.13,7.29,0.96,1.95,0.0,0.0,2900.0
1331,1737210411.489208,-,-,-,-,1504,62.55,2404,2713,0.52,42095,0,427,9267,7069,3902,11791,43,2968,28,423,0.04,2.73,4.03,3.17,19.28,0.09,7.09,0.04,1.2,22.44,2.07,11.45,1.49,71.0,0.0,70.0,153.49,88.49,66.61,57.56,1.28,0.45,0.0,0.0,0.0,0.0,0.0,10.48,6.45,1.17,1.9,0.0,0.0,2900.0
1202,1737210416.496407,-,-,-,-,1571,64.79,2424,2712,0.48,44028,0,161,11391,7471,3778,11623,4,2389,33,391,0.02,3.81,3.95,3.18,17.9,0.01,5.36,0.07,1.09,21.59,2.13,10.35,1.14,70.0,0.0,70.0,154.34,87.31,73.91,63.19,1.2,0.1,0.0,0.0,0.0,0.0,0.0,10.34,6.65,0.82,1.93,0.0,0.0,2900.0
1776,1737210421.504125,-,-,-,-,1317,56.48,2333,2712,0.52,40681,0,583,12819,8427,4402,13296,8,3306,19,578,0.03,3.86,4.45,3.66,22.02,0.02,8.11,0.07,1.56,25.36,2.61,13.48,2.07,62.0,0.0,62.0,142.81,84.19,67.48,55.69,2.04,0.49,0.0,0.0,0.0,0.0,0.0,9.3,5.72,0.77,1.81,0.0,0.0,2000.0
2135,1737210426.514342,-,-,-,-,1470,59.26,2480,2712,0.49,42034,0,537,10847,7799,4253,12694,33,3136,24,439,0.04,3.05,4.23,3.43,21.33,0.05,7.68,0.07,1.12,23.59,2.44,13.18,1.53,64.0,0.0,63.0,146.36,85.32,68.1,56.82,1.72,0.37,0.0,0.0,0.0,0.0,0.0,9.96,6.04,1.05,1.9,0.0,0.0,2800.0
841,1737210431.520867,-,-,-,-,1709,59.58,2868,2712,0.43,43279,0,123,14540,8169,4739,13213,11,2678,12,355,0.01,4.85,4.35,4.01,20.39,0.01,6.14,0.02,0.85,25.05,2.97,11.17,1.23,66.0,0.0,66.0,146.31,84.58,76.46,63.56,1.3,0.14,0.0,0.0,0.0,0.0,0.0,11.75,7.84,0.98,2.04,0.0,0.0,2900.0
949,1737210436.526821,-,-,-,-,1645,65.7,2504,2712,0.47,44399,0,1415,10695,8541,3445,9872,122,2204,18,244,0.14,3.42,6.39,3.0,15.47,0.22,5.27,0.05,0.57,23.72,1.82,7.76,1.01,71.0,0.0,71.0,156.62,88.81,74.18,65.05,0.86,0.14,0.0,0.0,0.0,0.0,0.0,11.07,6.91,1.19,2.02,0.0,0.0,2900.0
3162,1737210441.535098,-,-,-,-,1457,63.25,2303,2711,0.49,42400,0,373,9506,7704,3972,11497,12,2915,9,381,0.04,2.92,4.13,3.24,18.65,0.01,7.06,0.01,0.88,22.16,2.18,10.99,1.43,68.0,0.0,68.0,153.45,88.05,70.0,60.52,1.35,0.23,0.0,0.0,0.0,0.0,0.0,10.1,6.01,1.21,1.93,0.0,0.0,2900.0
1836,1737210446.542217,-,-,-,-,1575,65.72,2397,2712,0.46,43731,0,234,11321,8049,4013,11442,0,2388,10,321,0.02,3.75,4.18,3.21,17.16,0.0,5.29,0.01,0.83,21.26,2.19,9.8,1.03,69.0,0.0,69.0,156.44,87.85,76.87,66.6,1.17,0.08,0.0,0.0,0.0,0.0,0.0,10.28,6.52,0.87,1.98,0.0,0.0,2900.0
5454,1737210451.555992,-,-,-,-,1336,58.8,2273,2711,0.52,41223,0,310,11132,7546,3901,13261,10,3145,26,388,0.03,3.59,3.86,3.38,21.87,0.01,7.61,0.05,1.02,23.93,2.5,13.28,1.49,60.0,0.0,60.0,145.78,84.82,66.89,54.92,1.71,0.34,0.0,0.0,0.0,0.0,0.0,9.34,5.74,0.78,1.81,0.0,0.0,700.0
1055,1737210456.561987,-,-,-,-,1321,59.66,2214,2713,0.55,40810,0,278,9709,7701,3876,12553,17,3237,28,505,0.03,2.73,4.08,3.25,20.9,0.03,8.07,0.08,1.41,23.46,2.32,12.83,1.73,68.0,0.0,68.0,149.06,87.37,65.19,55.78,1.81,0.47,0.0,0.0,0.0,0.0,0.0,9.14,5.45,0.88,1.8,0.0,0.0,2900.0
2158,1737210461.569229,-,-,-,-,1721,63.07,2730,2712,0.48,43572,0,174,13563,7952,4159,11979,4,2566,14,370,0.02,4.36,4.03,3.47,18.54,0.01,5.81,0.02,0.85,23.29,2.3,10.33,1.01,69.0,0.0,69.0,153.38,87.7,75.27,65.48,1.42,0.11,0.0,0.0,0.0,0.0,0.0,11.5,7.71,0.88,2.01,0.0,0.0,2900.0
951,1737210466.574742,-,-,-,-,1589,61.8,2571,2712,0.52,42782,0,842,12517,7188,4204,12185,10,2955,14,441,0.04,3.71,3.99,3.56,19.06,0.02,7.04,0.03,0.97,23.37,2.48,11.18,1.17,69.0,0.0,69.0,152.74,88.66,68.99,59.96,1.15,0.23,0.0,0.0,0.0,0.0,0.0,10.99,7.25,0.88,1.91,0.0,0.0,2900.0
2234,1737210471.582078,-,-,-,-,1619,64.99,2492,2712,0.5,42394,0,952,10179,7587,3626,10845,61,2466,26,328,0.09,3.05,4.69,3.12,17.42,0.08,6.05,0.04,0.66,22.64,1.96,9.22,1.18,69.0,0.0,69.0,158.48,90.98,70.31,62.9,0.86,0.21,0.0,0.0,0.0,0.0,0.0,11.2,7.16,1.11,1.98,0.0,0.0,2900.0
2517,1737210476.589562,-,-,-,-,1883,67.48,2790,2712,0.44,44498,0,214,11718,7509,3921,10618,4,2181,17,315,0.02,4.01,3.6,3.27,15.89,0.0,5.12,0.04,0.72,20.7,2.22,8.62,0.98,70.0,0.0,71.0,159.85,89.71,78.43,70.0,1.06,0.12,0.0,0.0,0.0,0.0,0.0,12.35,8.24,1.14,2.13,0.0,0.0,2900.0
4718,1737210481.599591,-,-,-,-,1758,62.09,2832,2711,0.47,42620,0,120,14473,7833,4389,12261,4,2527,9,359,0.01,4.72,4.06,3.77,19.12,0.01,5.56,0.02,0.82,23.7,2.7,10.53,0.98,72.0,0.0,71.0,151.42,86.7,76.27,65.13,1.16,0.09,0.0,0.0,0.0,0.0,0.0,11.88,8.12,0.84,2.03,0.0,0.0,2900.0
3769,1737210486.608647,-,-,-,-,1951,67.59,2885,2713,0.44,45195,0,175,12144,6731,3851,10505,2,2095,8,288,0.02,4.0,3.5,3.28,16.24,0.0,4.77,0.02,0.71,20.35,2.27,9.01,0.79,71.0,0.0,72.0,158.46,88.44,77.45,67.99,1.17,0.14,0.0,0.0,0.0,0.0,0.0,12.67,8.63,1.07,2.1,0.0,0.0,2900.0
3474,1737210491.617286,-,-,-,-,1867,64.06,2915,2712,0.46,45128,0,204,13850,7417,4134,11989,4,2346,7,232,0.02,4.44,3.89,3.46,18.37,0.01,5.26,0.01,0.67,22.66,2.38,9.98,0.92,67.0,0.0,67.0,154.16,87.44,76.01,65.36,1.08,0.08,0.0,0.0,0.0,0.0,0.0,12.29,8.54,0.82,2.05,0.0,0.0,2900.0
1007,1737210496.622863,-,-,-,-,1436,56.25,2553,2713,0.5,41258,0,170,12998,8001,4559,13763,12,3250,21,513,0.02,3.77,4.37,3.81,22.71,0.02,7.93,0.04,1.33,25.72,2.8,13.39,1.84,65.0,0.0,65.0,142.23,84.31,68.54,56.23,1.72,0.34,0.0,0.0,0.0,0.0,0.0,10.33,6.53,0.94,1.88,0.0,0.0,2900.0
1276,1737210501.629286,-,-,-,-,1424,61.12,2330,2712,0.5,41901,0,404,10735,7739,4166,12344,16,2842,9,542,0.04,3.06,4.32,3.44,20.06,0.02,6.77,0.03,1.34,23.74,2.36,11.52,1.26,66.0,0.0,66.0,151.2,87.68,67.67,58.06,1.44,0.27,0.0,0.0,0.0,0.0,0.0,10.23,6.17,1.19,1.9,0.0,0.0,2900.0
2767,1737210506.638616,-,-,-,-,1723,63.39,2719,2712,0.43,43369,0,273,14239,8074,4361,12123,3,2407,4,305,0.02,4.6,4.05,3.7,18.26,0.01,5.45,0.01,0.7,22.8,2.65,10.15,1.01,65.0,0.0,64.0,152.85,86.7,77.06,65.77,1.12,0.13,0.0,0.0,0.0,0.0,0.0,11.66,7.68,1.05,2.05,0.0,0.0,2900.0
1053,1737210511.646575,-,-,-,-,1571,60.72,2587,2713,0.48,42660,0,392,11306,7550,3981,12193,11,2880,16,460,0.04,3.49,4.1,3.36,20.0,0.01,7.25,0.03,1.19,23.09,2.44,12.01,1.74,70.0,0.0,70.0,148.58,86.35,71.38,60.67,1.6,0.35,0.0,0.0,0.0,0.0,0.0,10.73,6.84,1.0,1.94,0.0,0.0,2900.0
3762,1737210516.655908,-,-,-,-,1491,63.4,2353,2711,0.5,41597,0,352,10858,6923,3807,11226,18,2822,7,356,0.03,3.29,3.71,3.26,18.35,0.01,7.12,0.02,0.95,22.43,2.12,10.58,1.47,69.0,0.0,69.0,154.85,88.88,67.45,59.12,1.53,0.32,0.0,0.0,0.0,0.0,0.0,10.48,6.48,1.14,1.9,0.0,0.0,2900.0
1493,1737210521.662419,-,-,-,-,1905,64.11,2971,2713,0.44,45598,0,256,14014,7833,4256,11589,6,2402,2,314,0.02,4.62,4.1,3.54,17.44,0.0,5.6,0.0,0.75,22.82,2.37,9.78,0.92,66.0,0.0,65.0,154.5,88.38,77.63,67.81,1.0,0.1,0.0,0.0,0.0,0.0,0.0,12.68,8.66,1.05,2.1,0.0,0.0,2900.0
858,1737210526.669091,-,-,-,-,1427,61.12,2334,2712,0.53,41572,0,345,11426,7678,3984,11896,3,3137,23,527,0.04,3.63,4.03,3.27,18.94,0.0,7.71,0.06,1.42,23.74,2.2,11.23,1.7,64.0,0.0,64.0,151.52,88.5,67.83,58.76,1.26,0.39,0.0,0.0,0.0,0.0,0.0,9.87,6.14,0.89,1.87,0.0,0.0,2900.0
1759,1737210531.675797,-,-,-,-,1342,57.93,2317,2712,0.55,39564,0,458,12110,7823,4036,13018,16,3410,23,395,0.04,3.39,4.12,3.38,21.58,0.03,8.51,0.04,1.22,24.81,2.39,12.69,2.17,63.0,0.0,63.0,146.33,86.33,63.64,53.59,2.06,0.4,0.0,0.0,0.0,0.0,0.0,9.53,5.81,0.91,1.8,0.0,0.0,2900.0
1338,1737210536.683075,-,-,-,-,1721,63.33,2718,2712,0.46,43276,0,196,12958,7802,4342,11859,8,2501,9,352,0.02,4.24,3.88,3.57,18.3,0.0,5.88,0.01,0.96,22.4,2.43,10.76,1.09,70.0,0.0,70.0,153.24,87.91,76.34,66.19,1.09,0.17,0.0,0.0,0.0,0.0,0.0,11.42,7.59,0.92,2.01,0.0,0.0,2900.0
3852,1737210541.692298,-,-,-,-,1556,58.68,2652,2711,0.51,41738,0,486,13026,6998,4344,12834,11,3111,17,456,0.03,3.9,3.91,3.68,21.32,0.02,7.54,0.02,1.08,25.2,2.41,12.17,1.55,66.0,0.0,65.0,147.5,86.76,67.77,57.66,1.68,0.33,0.0,0.0,0.0,0.0,0.0,11.24,7.4,0.97,1.91,0.0,0.0,2900.0
1526,1737210546.698424,-,-,-,-,1593,58.27,2733,2713,0.53,41244,0,565,13765,7237,4100,13069,19,3217,12,489,0.03,3.71,3.92,3.35,21.69,0.03,8.06,0.03,1.16,25.15,2.11,12.77,1.7,68.0,0.0,68.0,147.55,87.33,64.25,55.15,1.78,0.4,0.0,0.0,0.0,0.0,0.0,11.53,7.65,1.02,1.89,0.0,0.0,2900.0
1570,1737210551.708088,-,-,-,-,2449,80.69,3035,2712,0.41,49039,0,400,8578,5899,2987,6832,19,1207,0,119,0.04,2.48,2.9,2.27,8.79,0.02,2.53,0.0,0.31,14.03,1.02,3.91,0.35,72.0,0.0,72.0,181.4,96.86,75.2,72.18,0.25,0.02,0.0,0.0,0.0,0.0,0.0,14.82,10.37,1.4,2.3,0.0,0.0,2900.0
1664,1737210556.714443,-,-,-,-,2348,78.74,2982,2712,0.43,47056,0,1024,8843,7465,3250,7109,45,1283,10,149,0.1,2.79,3.89,2.4,8.97,0.06,2.67,0.01,0.47,15.6,1.21,4.01,0.44,69.0,0.0,69.0,178.57,96.57,71.65,68.82,0.48,0.05,0.0,0.0,0.0,0.0,0.0,14.39,10.14,1.22,2.21,0.0,0.0,2900.0
1146,1737210561.7213,-,-,-,-,1700,69.4,2450,2712,0.5,43238,0,314,7567,6735,3436,9588,23,2507,27,397,0.03,2.36,3.5,2.72,14.91,0.04,6.04,0.03,1.1,18.83,1.65,8.83,1.29,72.0,0.0,72.0,164.07,92.01,64.72,59.11,1.46,0.2,0.0,0.0,0.0,0.0,0.0,11.05,7.27,0.96,1.86,0.0,0.0,2900.0
1513,1737210566.729392,-,-,-,-,2421,82.66,2929,2712,0.39,50488,0,162,6661,5051,2692,6260,4,1098,2,117,0.01,2.22,2.49,2.12,7.9,0.0,2.26,0.0,0.24,12.17,1.2,3.67,0.29,70.0,0.0,69.0,181.84,96.51,80.36,77.49,0.53,0.02,0.0,0.0,0.0,0.0,0.0,13.91,9.59,1.28,2.3,0.0,0.0,2700.0
1509,1737210571.736297,-,-,-,-,1814,71.69,2531,2712,0.47,44722,0,1340,6929,6981,2726,7569,78,2321,25,264,0.13,2.3,4.83,2.27,11.93,0.15,6.12,0.04,0.68,18.62,1.41,6.86,1.42,66.0,0.0,65.0,166.68,92.84,68.14,62.87,0.88,0.2,0.0,0.0,0.0,0.0,0.0,11.2,7.24,1.03,1.96,0.0,0.0,2900.0
1341,1737210576.742154,-,-,-,-,1346,61.51,2188,2712,0.64,39943,0,346,7699,6783,3511,11102,33,3374,47,598,0.03,2.22,3.56,2.84,18.85,0.06,9.14,0.15,1.85,22.14,1.9,12.12,2.33,73.0,0.0,73.0,153.06,89.34,60.55,53.66,2.3,0.38,0.0,0.0,0.0,0.0,0.0,9.44,5.89,0.81,1.67,0.0,0.0,2900.0
